method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,dataset,protocol,seed
wl_pcqr,WL-PCQR,PHIF,9,1152,0.014293104195944603,0.00885860021599092,0.9451558603758481,0.9734757712191602,0.9105902777777778,0.04316365922093034,0.023073914411902777,0.526981885423036,0.065226651774767,0.9105902777777778,0.8203125,0.8203125,0,0.04316365922093034,0.065226651774767,SPWLA_PDDA_2021,cross_well,42
global_rf_cqr,Global RF-CQR,PHIF,9,1152,0.015446802693652204,0.01011594748638566,0.9434932609446284,0.9759408159058215,0.9262152777777778,0.04898536270274961,0.020618670622688327,0.43575040957502115,0.0657202109393297,0.9262152777777778,0.896875,0.859375,4,0.04898536270274961,0.0657202109393297,SPWLA_PDDA_2021,cross_well,42
extratrees_pcqr,ExtraTrees-PCQR,PHIF,9,1152,0.020645151214332556,0.015432809193057478,0.8921536724324299,0.9754644521385448,0.9322916666666666,0.08148325916993487,0.029447571482161324,0.42017950749789024,0.09106018132745453,0.9322916666666666,0.8953125,0.8828125,1,0.08148325916993487,0.09106018132745453,SPWLA_PDDA_2021,cross_well,42
ngboost_cqr_signed,NGBoost PI,PHIF,9,1152,0.017761956938337223,0.011692457103387186,0.925032466332274,0.9661964799740939,0.9210069444444444,0.049031059668085214,0.005874113016085229,0.0752265062286532,0.07321536899262054,0.9210069444444444,0.8765625,0.8203125,4,0.049031059668085214,0.07321536899262054,SPWLA_PDDA_2021,cross_well,42
hgb_cqr_signed,HGB-CQR,PHIF,9,1152,0.014324420812787132,0.009018529514208977,0.9462761609593885,0.9757895635849412,0.9418402777777778,0.11854628607136851,0.04080707305644,0.35876168256128926,0.13126249000720328,0.9418402777777778,0.890625,0.859375,4,0.11854628607136851,0.13126249000720328,SPWLA_PDDA_2021,cross_well,42
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,9,1152,0.01930084536141528,0.012868809934898815,0.9220382148932686,0.9713865332893801,0.9314236111111112,0.09138740375905524,0.03006342310235178,0.34944931950097613,0.1042527087754493,0.9314236111111112,0.8890625,0.8828125,7,0.09138740375905524,0.1042527087754493,SPWLA_PDDA_2021,cross_well,42
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,9,1152,0.018398910789370747,0.012014142554972422,0.9270604382546858,0.9730067711865085,0.9322916666666666,0.08723411440292103,0.017483862068757773,0.24043861391662139,0.10513103001725975,0.9322916666666666,0.9015625,0.8828125,0,0.08723411440292103,0.10513103001725975,SPWLA_PDDA_2021,cross_well,42
source_only_rf_cqr,Source-only RF-CQR,PHIF,9,1440,0.016627723142944528,0.010279876918521428,0.939437415343292,0.9735333292007362,0.8986111111111111,0.045284443138869916,0.01966481594030202,0.4275622756768516,0.08633718227091079,0.8986111111111111,0.7937500000000001,0.39375,0,0.045284443138869916,0.08633718227091079,SPWLA_PDDA_2021,cross_well,42
ngboost_cqr_signed,NGBoost PI,PHIF,45,1440,0.023245216485381182,0.017397358236881662,0.5974300093933603,0.9085405919798774,0.8756944444444444,0.06628220000576439,0.004757180577705628,0.0383881178126723,0.10969975835463013,0.8756944444444446,0.82625,0.78125,,0.0662822000057644,0.10969975835463013,SPWLA_PDDA_2021,within_well,42
global_rf_cqr,Global RF-CQR,PHIF,45,1440,0.029068509897582657,0.022672256764764344,0.5516982563758995,0.9037816083685466,0.8916666666666667,0.10120681491053048,0.026418771889558407,0.31879506470851804,0.12858684703847828,0.8916666666666667,0.8225,0.7875,,0.10120681491053052,0.1285868470384783,SPWLA_PDDA_2021,within_well,42
wl_pcqr,WL-PCQR,PHIF,45,1440,0.029068509897582657,0.022672256764764344,0.5516982563758994,0.9037816083685466,0.8916666666666667,0.10120681491053048,0.026418771889558407,0.31879506470851804,0.12858684703847828,0.8916666666666667,0.8225,0.7875,,0.10120681491053052,0.1285868470384783,SPWLA_PDDA_2021,within_well,42
extratrees_pcqr,ExtraTrees-PCQR,PHIF,45,1440,0.03446172762569704,0.02804032964819488,0.4420461309395877,0.8984493453929512,0.8923611111111112,0.11853112723733533,0.025740534725511147,0.2665463973259998,0.1411863482819549,0.8923611111111112,0.85875,0.79375,,0.11853112723733533,0.1411863482819549,SPWLA_PDDA_2021,within_well,42
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,45,1440,0.03079410460892404,0.024466878695441903,0.5143622406892789,0.9012425707797728,0.8548611111111111,0.1019776914024236,0.017365645486828927,0.1964989294897084,0.1488372465193491,0.8548611111111112,0.8075,0.7625,,0.10197769140242362,0.1488372465193491,SPWLA_PDDA_2021,within_well,42
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,45,1440,0.025307045986769472,0.019393815815102407,0.6083274182555682,0.9077912006365482,0.8701388888888889,0.13540616965589605,0.02574919079365153,0.22947791073953722,0.1672721037291914,0.870138888888889,0.81125,0.78125,,0.13540616965589605,0.1672721037291914,SPWLA_PDDA_2021,within_well,42
hgb_cqr_signed,HGB-CQR,PHIF,45,1440,0.03041428241052783,0.023881562060259168,0.49160705080975986,0.8991591797465637,0.8805555555555555,0.14584027639593955,0.029109614793564473,0.2298731506017377,0.17498673315456598,0.8805555555555555,0.7937500000000001,0.74375,,0.14584027639593958,0.17498673315456598,SPWLA_PDDA_2021,within_well,42
wl_pcqr,WL-PCQR,PHIF,9,1152,0.01394792054151198,0.00834258321678419,0.947821970477424,0.974150705731823,0.8932291666666666,0.0418733370139445,0.02301307705819691,0.5334359145613858,0.068185496445734,0.8932291666666666,0.765625,0.734375,0,0.0418733370139445,0.068185496445734,SPWLA_PDDA_2021,cross_well,7
global_rf_cqr,Global RF-CQR,PHIF,9,1152,0.015668308923468738,0.01022193962510421,0.9416665832958291,0.9751489250330992,0.921875,0.05296190565033415,0.021689917192344386,0.42774026573550683,0.06983928794686826,0.921875,0.8546875,0.7734375,4,0.05296190565033415,0.06983928794686826,SPWLA_PDDA_2021,cross_well,7
extratrees_pcqr,ExtraTrees-PCQR,PHIF,9,1152,0.02027538809235751,0.014811636511194208,0.9016989757953111,0.9744017264140221,0.9487847222222222,0.08253756902810301,0.0297162662441579,0.4057708578375958,0.09110460281159641,0.9487847222222222,0.903125,0.859375,7,0.08253756902810301,0.09110460281159641,SPWLA_PDDA_2021,cross_well,7
ngboost_cqr_signed,NGBoost PI,PHIF,9,1152,0.017685467700398066,0.01158493398919571,0.9243856972778768,0.9657751115376839,0.9140625,0.04659033192553139,0.005509299733136437,0.07179691049490394,0.07136493499788675,0.9140625,0.875,0.84375,4,0.04659033192553139,0.07136493499788675,SPWLA_PDDA_2021,cross_well,7
hgb_cqr_signed,HGB-CQR,PHIF,9,1152,0.014324420812787132,0.009018529514208977,0.9462761609593885,0.9757895635849412,0.9418402777777778,0.11854628607136851,0.04080707305644,0.35876168256128926,0.13126249000720328,0.9418402777777778,0.890625,0.859375,4,0.11854628607136851,0.13126249000720328,SPWLA_PDDA_2021,cross_well,7
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,9,1152,0.02007218847656455,0.013378466505420286,0.9137060362277837,0.9705315792615112,0.9184027777777778,0.0881306289935028,0.029534865262259496,0.3524826044941775,0.10298777381952252,0.9184027777777778,0.859375,0.828125,4,0.0881306289935028,0.10298777381952252,SPWLA_PDDA_2021,cross_well,7
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,9,1152,0.018362562265551708,0.011936617865059847,0.9265862087875987,0.972131723631034,0.9314236111111112,0.08964846749545786,0.019911404383079628,0.2500942340468756,0.10755221655231008,0.9314236111111112,0.9015625,0.8828125,7,0.08964846749545786,0.10755221655231008,SPWLA_PDDA_2021,cross_well,7
source_only_rf_cqr,Source-only RF-CQR,PHIF,9,1440,0.01675305019042415,0.010313981096179897,0.9379759450612224,0.9732193611473998,0.9027777777777778,0.0450770540437172,0.020347457247738936,0.43851233717045973,0.08477292223017861,0.9027777777777778,0.81125,0.43125,0,0.0450770540437172,0.08477292223017863,SPWLA_PDDA_2021,cross_well,7
ngboost_cqr_signed,NGBoost PI,PHIF,45,1440,0.022927326813185624,0.017103043863843367,0.6146783295214524,0.9121404222023228,0.8777777777777778,0.06682037532913376,0.004837250181941402,0.039134696481170884,0.10969111722270017,0.8777777777777778,0.82625,0.75625,,0.06682037532913376,0.10969111722270017,SPWLA_PDDA_2021,within_well,7
global_rf_cqr,Global RF-CQR,PHIF,45,1440,0.02888650661144031,0.022540349239663682,0.5531846190135901,0.9060205560153103,0.89375,0.10197950527047611,0.026755577558529593,0.322123417279247,0.12717395067816029,0.8937499999999999,0.8375,0.8125,,0.10197950527047611,0.1271739506781603,SPWLA_PDDA_2021,within_well,7
wl_pcqr,WL-PCQR,PHIF,45,1440,0.02888650661144031,0.022540349239663682,0.5531846190135901,0.9060205560153103,0.89375,0.10197950527047611,0.026755577558529593,0.322123417279247,0.12717395067816029,0.8937499999999999,0.8375,0.8125,,0.10197950527047611,0.1271739506781603,SPWLA_PDDA_2021,within_well,7
extratrees_pcqr,ExtraTrees-PCQR,PHIF,45,1440,0.03398385498518992,0.027551932968726725,0.4574835945737484,0.8998457623462323,0.8916666666666667,0.11890024930963637,0.02589270111711861,0.2686246242897411,0.1426587770333136,0.8916666666666667,0.805,0.8,,0.11890024930963637,0.1426587770333136,SPWLA_PDDA_2021,within_well,7
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,45,1440,0.03120049826678071,0.02471899059000257,0.49921721345756365,0.892189554937655,0.8541666666666666,0.09876965941880463,0.016575287360211723,0.19873519200643353,0.1433803025860857,0.8541666666666666,0.80625,0.78125,,0.09876965941880463,0.1433803025860857,SPWLA_PDDA_2021,within_well,7
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,45,1440,0.02533390430179393,0.01941473731231131,0.6001378258011753,0.9052675642128296,0.8513888888888889,0.1338996809501889,0.025562997203527324,0.23077396144945764,0.16710576765086543,0.851388888888889,0.79,0.75,,0.1338996809501889,0.1671057676508655,SPWLA_PDDA_2021,within_well,7
hgb_cqr_signed,HGB-CQR,PHIF,45,1440,0.03041428241052783,0.023881562060259168,0.49160705080975986,0.8991591797465637,0.8805555555555555,0.14584027639593955,0.029109614793564473,0.2298731506017377,0.17498673315456598,0.8805555555555555,0.7937500000000001,0.74375,,0.14584027639593958,0.17498673315456598,SPWLA_PDDA_2021,within_well,7
wl_pcqr,WL-PCQR,PHIF,9,1152,0.014346928662560897,0.00890976015973799,0.9450060271440043,0.9730956523425215,0.9236111111111112,0.045735038949928065,0.024103636220742117,0.5035199809741507,0.06583343498427989,0.9236111111111112,0.8765625,0.8515625,6,0.045735038949928065,0.06583343498427989,SPWLA_PDDA_2021,cross_well,123
global_rf_cqr,Global RF-CQR,PHIF,9,1152,0.015558244609651415,0.010105035174933892,0.9423325421398714,0.9753557470198193,0.9175347222222222,0.05136085302446565,0.021358949177145054,0.4452869659565365,0.06826597276343004,0.9175347222222222,0.8421875,0.8046875,4,0.05136085302446565,0.06826597276343004,SPWLA_PDDA_2021,cross_well,123
extratrees_pcqr,ExtraTrees-PCQR,PHIF,9,1152,0.019655874018120082,0.014358112070161959,0.9107355677851494,0.975554869601623,0.9401041666666666,0.07895045272590545,0.028554600393714078,0.41542423782070914,0.08765459453092339,0.9401041666666666,0.8921875,0.8671875,7,0.07895045272590545,0.08765459453092339,SPWLA_PDDA_2021,cross_well,123
ngboost_cqr_signed,NGBoost PI,PHIF,9,1152,0.01749321916764592,0.011510833474348522,0.9266408288045116,0.9667833260421553,0.9210069444444444,0.04735451092927026,0.005045852956259312,0.0706632558811539,0.07203627855938427,0.9210069444444444,0.88125,0.84375,4,0.04735451092927026,0.07203627855938427,SPWLA_PDDA_2021,cross_well,123
