method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler
wl_pcqr,WL-PCQR,PHIF,9,2304,0.013606848303221,0.0084709013224638,0.9546915265158752,0.9782890681449096,0.8914930555555556,0.0354841728158097,0.0191870428315934,0.5610557692354033,0.056533781944441,0.8914930555555556,0.846875,0.84375,1,0.0354841728158097,0.056533781944441
global_rf_cqr,Global RF-CQR,PHIF,9,2304,0.0144747193272097,0.0093280646214026,0.9521589434603948,0.9781427781170884,0.9001736111111112,0.0399536152933326,0.0151997437302751,0.3876797324450934,0.0608744820014974,0.9001736111111112,0.83515625,0.83203125,2,0.0399536152933326,0.0608744820014974
wl_pcqr,WL-PCQR,PHIF,9,2304,0.0132811898164709,0.0079456848189239,0.9554931616407216,0.9780316973748432,0.9140625,0.0365351584653559,0.0199131653779807,0.5842989653514132,0.0560814151042343,0.9140625,0.87734375,0.85546875,1,0.0365351584653559,0.0560814151042343
global_rf_cqr,Global RF-CQR,PHIF,9,2304,0.0145264025254676,0.00932623438941,0.9516976007220724,0.9778806406328976,0.9088541666666666,0.0407164502958925,0.0164112306219197,0.4099830672575894,0.0621607522254218,0.9088541666666666,0.8484375,0.8359375,0,0.0407164502958925,0.0621607522254218
wl_pcqr,WL-PCQR,PHIF,9,2304,0.0132830573353327,0.0079098115792311,0.955329460754498,0.9780021817472572,0.9036458333333334,0.0350996992301328,0.0196449052670177,0.5930782742638964,0.0561557499399558,0.9036458333333334,0.86015625,0.84765625,2,0.0350996992301328,0.0561557499399558
global_rf_cqr,Global RF-CQR,PHIF,9,2304,0.0145610470548506,0.009379374209628,0.9513386651265128,0.9778568788056654,0.9118923611111112,0.0396523391007399,0.0157377007487867,0.3996052888593518,0.0610636982321164,0.9118923611111112,0.86171875,0.83984375,0,0.0396523391007399,0.0610636982321164
wl_pcqr,WL-PCQR,SW,9,2304,0.0579224944947364,0.0286536830860831,0.8368824831168564,0.9194797664244488,0.9474826388888888,0.1346181390088203,0.1120191066863297,0.9736137831274376,0.186711550281901,0.9474826388888888,0.925,0.921875,5,0.1346181390088203,0.186711550281901
global_rf_cqr,Global RF-CQR,SW,9,2304,0.0705667719928519,0.0427604950519375,0.7114850527987996,0.891088061581581,0.9396701388888888,0.165816064508193,0.1200325327322889,0.8893834666289587,0.2261538953692738,0.9396701388888888,0.890625,0.875,0,0.165816064508193,0.2261538953692738
wl_pcqr,WL-PCQR,SW,9,2304,0.0578667442156901,0.0287115249150091,0.8385508052348465,0.9196897913204736,0.9375,0.123632918539678,0.1163617712818084,1.0840959582114889,0.1790440565111319,0.9375,0.88828125,0.87890625,5,0.123632918539678,0.1790440565111319
global_rf_cqr,Global RF-CQR,SW,9,2304,0.069111791160837,0.0408649080392108,0.7230101959456108,0.8927906130985748,0.9409722222222222,0.1548888263689959,0.122898744235992,0.945758753498223,0.2147517041449526,0.9409722222222222,0.88984375,0.87109375,0,0.1548888263689959,0.2147517041449526
wl_pcqr,WL-PCQR,SW,9,2304,0.0565114140189188,0.0298879312347664,0.8432480241842739,0.922585982240544,0.9552951388888888,0.1329445406321498,0.1202181235596288,1.0450219025467375,0.1753674648811223,0.9552951388888888,0.9234375,0.9140625,5,0.1329445406321498,0.1753674648811223
global_rf_cqr,Global RF-CQR,SW,9,2304,0.0701720400292857,0.0419155859457421,0.7121273867898865,0.8895265309722856,0.9401041666666666,0.1589038221659335,0.1244793282683408,0.9387302698566669,0.2191569565108881,0.9401041666666666,0.89453125,0.87890625,0,0.1589038221659335,0.2191569565108881
wl_pcqr,WL-PCQR,VSH,9,2304,0.0405569430892543,0.0268613935489839,0.9574570462371592,0.980780282982603,0.9149305555555556,0.1302822646206808,0.0754338790254447,0.6195523898710121,0.1723573933401848,0.9149305555555556,0.88671875,0.87109375,1,0.1302822646206808,0.1723573933401848
global_rf_cqr,Global RF-CQR,VSH,9,2304,0.0594214559804961,0.0446260685913379,0.9088018301097686,0.9727718785573314,0.9040798611111112,0.1844081693678242,0.0623335101386094,0.3377517144132632,0.2269812813629594,0.9040798611111112,0.8796875,0.8515625,6,0.1844081693678242,0.2269812813629594
wl_pcqr,WL-PCQR,VSH,9,2304,0.0439719872037053,0.0308550676789075,0.9346302638912664,0.9769573433054304,0.9197048611111112,0.1349960255044255,0.0695462375271115,0.541727148977049,0.1753170598291025,0.9197048611111112,0.85234375,0.82421875,7,0.1349960255044255,0.1753170598291025
global_rf_cqr,Global RF-CQR,VSH,9,2304,0.0589187963188128,0.0445769376630516,0.9110568775945384,0.9732242134543552,0.9114583333333334,0.1794049983087138,0.0595998791411032,0.3342431351518435,0.2251667672629282,0.9114583333333334,0.859375,0.859375,1,0.1794049983087138,0.2251667672629282
wl_pcqr,WL-PCQR,VSH,9,2304,0.042801019416237,0.0284966035920548,0.9356372184940446,0.977080443907932,0.9296875,0.13404163997364,0.0815941600458351,0.6093240387112115,0.1743465930839661,0.9296875,0.88984375,0.88671875,7,0.13404163997364,0.1743465930839661
global_rf_cqr,Global RF-CQR,VSH,9,2304,0.0589957999607337,0.0445589592767529,0.9100720189076154,0.9729435148016944,0.9153645833333334,0.1768841677761381,0.058985844386537,0.3358510367722096,0.2207134505423478,0.9153645833333334,0.884375,0.875,5,0.1768841677761381,0.2207134505423478
