target,method,method_label,coverage,p10_well_coverage,worst_well_coverage,width,winkler,rmse,macro_well_coverage,macro_well_winkler,rank_winkler
PHIF,knn_local_cqr,kNN Local RF-CQR,0.9467592592592592,0.9052083333333334,0.9010416666666666,0.05076302408227918,0.0647643085109726,0.015557785408924116,0.9467592592592592,0.0647643085109726,1
PHIF,wl_pcqr,WL-PCQR,0.9091435185185185,0.8208333333333333,0.8020833333333334,0.04359067839493432,0.06641519440159363,0.014195984466672496,0.9091435185185185,0.06641519440159363,2
PHIF,global_rf_cqr,Global RF-CQR,0.921875,0.8645833333333334,0.8125,0.0511027071258498,0.06794182388320934,0.015557785408924116,0.921875,0.06794182388320934,3
PHIF,qrf_cqr,RF-Leaf QRF+CQR,0.9716435185185185,0.9380208333333333,0.9296875,0.0601496783515515,0.07228596723558055,0.015557785408924114,0.9716435185185185,0.07228596723558055,4
PHIF,gr_mondrian_cqr,GR-Mondrian RF-CQR,0.9563078703703703,0.9208333333333334,0.90625,0.06692824111329726,0.07903709340624043,0.015557785408924116,0.9563078703703703,0.07903709340624043,5
SW,wl_pcqr,WL-PCQR,0.9542824074074074,0.915625,0.890625,0.1725533454376116,0.21616946768404519,0.06701640505543824,0.9542824074074074,0.21616946768404519,1
SW,knn_local_cqr,kNN Local RF-CQR,0.9603587962962963,0.9036458333333334,0.8619791666666666,0.20853115470536335,0.24605894277392995,0.07814395480260884,0.9603587962962963,0.24605894277392995,2
SW,global_rf_cqr,Global RF-CQR,0.9641203703703703,0.9265625000000001,0.8932291666666666,0.2112552031674163,0.24941695417938603,0.07814395480260884,0.9641203703703703,0.24941695417938603,3
SW,qrf_cqr,RF-Leaf QRF+CQR,0.9733796296296297,0.9520833333333334,0.9270833333333334,0.21361832416087964,0.26944747925347223,0.07814395480260884,0.9733796296296297,0.26944747925347223,4
SW,gr_mondrian_cqr,GR-Mondrian RF-CQR,0.9823495370370371,0.9682291666666667,0.9453125,0.24789354184656853,0.2728236640451296,0.07814395480260884,0.9823495370370371,0.2728236640451296,5
VSH,wl_pcqr,WL-PCQR,0.9152199074074074,0.8515625,0.7890625,0.1474764691291797,0.1942596870086953,0.04483046240610283,0.9152199074074074,0.1942596870086953,1
VSH,knn_local_cqr,kNN Local RF-CQR,0.9117476851851851,0.8505208333333334,0.7942708333333334,0.19723242705127841,0.23226576110422434,0.05934998988298887,0.9117476851851851,0.23226576110422434,2
VSH,global_rf_cqr,Global RF-CQR,0.9233217592592592,0.8921875,0.8567708333333334,0.19825243397937872,0.24188010094956883,0.05934998988298887,0.9233217592592592,0.24188010094956883,3
VSH,gr_mondrian_cqr,GR-Mondrian RF-CQR,0.9427083333333334,0.9151041666666666,0.8880208333333334,0.22574896132612324,0.24668482910283193,0.05934998988298886,0.9427083333333334,0.24668482910283193,4
VSH,qrf_cqr,RF-Leaf QRF+CQR,0.9528356481481483,0.9234375,0.9088541666666666,0.21733331701099537,0.24691969827256946,0.05934998988298887,0.9528356481481483,0.24691969827256946,5
