target,seed,method_label,winkler,coverage,worst_well_coverage,rank_winkler
PHIF,7,WL-PCQR,0.068185496445734,0.8932291666666666,0.734375,1
PHIF,7,Global RF-CQR,0.0698392879468682,0.921875,0.7734375,2
PHIF,7,NGBoost PI,0.0713649349978867,0.9140625,0.84375,3
PHIF,7,Source-only RF-CQR,0.0847729222301786,0.9027777777777778,0.43125,4
PHIF,7,ExtraTrees-PCQR,0.0911046028115964,0.9487847222222222,0.859375,5
PHIF,7,LightGBM Quantile+CQR,0.1029877738195225,0.9184027777777778,0.828125,6
PHIF,7,CatBoost Quantile+CQR,0.10755221655231,0.9314236111111112,0.8828125,7
PHIF,7,HGB-CQR,0.1312624900072032,0.9418402777777778,0.859375,8
PHIF,42,WL-PCQR,0.065226651774767,0.9105902777777778,0.8203125,1
PHIF,42,Global RF-CQR,0.0657202109393297,0.9262152777777778,0.859375,2
PHIF,42,NGBoost PI,0.0732153689926205,0.9210069444444444,0.8203125,3
PHIF,42,Source-only RF-CQR,0.0863371822709107,0.8986111111111111,0.39375,4
PHIF,42,ExtraTrees-PCQR,0.0910601813274545,0.9322916666666666,0.8828125,5
PHIF,42,LightGBM Quantile+CQR,0.1042527087754493,0.9314236111111112,0.8828125,6
PHIF,42,CatBoost Quantile+CQR,0.1051310300172597,0.9322916666666666,0.8828125,7
PHIF,42,HGB-CQR,0.1312624900072032,0.9418402777777778,0.859375,8
PHIF,123,WL-PCQR,0.0658334349842798,0.9236111111111112,0.8515625,1
PHIF,123,Global RF-CQR,0.06826597276343,0.9175347222222222,0.8046875,2
PHIF,123,NGBoost PI,0.0720362785593842,0.9210069444444444,0.84375,3
PHIF,123,Source-only RF-CQR,0.0850220025633476,0.9027777777777778,0.41875,4
PHIF,123,ExtraTrees-PCQR,0.0876545945309233,0.9401041666666666,0.8671875,5
PHIF,123,CatBoost Quantile+CQR,0.098016282308563,0.9123263888888888,0.859375,6
PHIF,123,LightGBM Quantile+CQR,0.1026091177868406,0.9366319444444444,0.8671875,7
PHIF,123,HGB-CQR,0.1312624900072032,0.9418402777777778,0.859375,8
SW,7,WL-PCQR,0.2198754403611267,0.9574652777777778,0.8828125,1
SW,7,Global RF-CQR,0.2509330600551558,0.9609375,0.875,2
SW,7,Source-only RF-CQR,0.2597912571244082,0.9027777777777778,0.7,3
SW,7,NGBoost PI,0.3198770379143057,0.9244791666666666,0.8671875,4
SW,7,ExtraTrees-PCQR,0.337086167581981,0.9418402777777778,0.796875,5
SW,7,HGB-CQR,0.3741663024211681,0.9331597222222222,0.8671875,6
SW,7,CatBoost Quantile+CQR,0.3771367195198877,0.9357638888888888,0.8359375,7
SW,7,LightGBM Quantile+CQR,0.3965095859724632,0.9644097222222222,0.9296875,8
SW,42,WL-PCQR,0.2169394022802243,0.9461805555555556,0.90625,1
SW,42,Global RF-CQR,0.2462999134113323,0.9618055555555556,0.90625,2
SW,42,Source-only RF-CQR,0.2526271529631236,0.9055555555555556,0.725,3
SW,42,NGBoost PI,0.3209811166653333,0.9210069444444444,0.875,4
SW,42,ExtraTrees-PCQR,0.3293745697637343,0.9314236111111112,0.7890625,5
SW,42,HGB-CQR,0.3741663024211681,0.9331597222222222,0.8671875,6
SW,42,CatBoost Quantile+CQR,0.3763356530598213,0.9114583333333334,0.8046875,7
SW,42,LightGBM Quantile+CQR,0.4009989499945002,0.9592013888888888,0.8828125,8
SW,123,WL-PCQR,0.2116935604107844,0.9592013888888888,0.8828125,1
SW,123,Global RF-CQR,0.25101788907167,0.9696180555555556,0.8984375,2
SW,123,Source-only RF-CQR,0.2517936594186244,0.9138888888888888,0.73125,3
SW,123,NGBoost PI,0.3242301461480073,0.9236111111111112,0.8828125,4
SW,123,ExtraTrees-PCQR,0.3326798384890791,0.9522569444444444,0.8984375,5
SW,123,CatBoost Quantile+CQR,0.3594117239498284,0.9079861111111112,0.8125,6
SW,123,HGB-CQR,0.3741663024211681,0.9331597222222222,0.8671875,7
SW,123,LightGBM Quantile+CQR,0.4062043194060105,0.9574652777777778,0.890625,8
VSH,7,WL-PCQR,0.2011206771340806,0.9184027777777778,0.7890625,1
VSH,7,Global RF-CQR,0.246266762824913,0.9262152777777778,0.8359375,2
VSH,7,ExtraTrees-PCQR,0.2561538896375822,0.9444444444444444,0.84375,3
VSH,7,Source-only RF-CQR,0.2650637714325181,0.9,0.78125,4
VSH,7,NGBoost PI,0.2669725739231026,0.9427083333333334,0.8828125,5
VSH,7,HGB-CQR,0.3224038206091276,0.9244791666666666,0.8359375,6
VSH,7,CatBoost Quantile+CQR,0.3287574780359881,0.9322916666666666,0.9140625,7
VSH,7,LightGBM Quantile+CQR,0.3441597115376724,0.9348958333333334,0.8671875,8
VSH,42,WL-PCQR,0.1888727690519709,0.9123263888888888,0.8125,1
VSH,42,Global RF-CQR,0.2396094052664476,0.9244791666666666,0.8515625,2
VSH,42,ExtraTrees-PCQR,0.2484653649937512,0.9331597222222222,0.8046875,3
VSH,42,Source-only RF-CQR,0.2618227813108392,0.9027777777777778,0.7875,4
VSH,42,NGBoost PI,0.2692001491410682,0.9444444444444444,0.859375,5
VSH,42,HGB-CQR,0.3224038206091276,0.9244791666666666,0.8359375,6
VSH,42,CatBoost Quantile+CQR,0.3356519676123725,0.9253472222222222,0.828125,7
VSH,42,LightGBM Quantile+CQR,0.3389776852997499,0.9331597222222222,0.8828125,8
VSH,123,WL-PCQR,0.1927856148400343,0.9149305555555556,0.765625,1
VSH,123,Global RF-CQR,0.2397641347573457,0.9192708333333334,0.8828125,2
VSH,123,ExtraTrees-PCQR,0.2557133556697482,0.9418402777777778,0.875,3
VSH,123,Source-only RF-CQR,0.2618072416339143,0.8965277777777778,0.7875,4
VSH,123,NGBoost PI,0.2654503138249782,0.9461805555555556,0.890625,5
VSH,123,HGB-CQR,0.3224038206091276,0.9244791666666666,0.8359375,6
VSH,123,CatBoost Quantile+CQR,0.3320507815647657,0.9418402777777778,0.8828125,7
VSH,123,LightGBM Quantile+CQR,0.338849312216946,0.9505208333333334,0.9140625,8
