target,well,coverage
PHIF,0,0.8125
PHIF,1,0.9557291666666666
PHIF,2,0.9114583333333334
PHIF,3,0.9322916666666666
PHIF,4,0.8333333333333334
PHIF,5,0.9427083333333334
PHIF,6,0.8802083333333334
PHIF,7,0.9401041666666666
PHIF,8,0.9739583333333334
SW,0,0.9296875
SW,1,1.0
SW,2,0.9661458333333334
SW,3,0.984375
SW,4,0.9348958333333334
SW,5,0.9635416666666666
SW,6,0.9557291666666666
SW,7,0.9010416666666666
SW,8,0.953125
VSH,0,0.9322916666666666
VSH,1,0.7890625
VSH,2,0.9505208333333334
VSH,3,0.9609375
VSH,4,0.9114583333333334
VSH,5,0.9296875
VSH,6,0.9479166666666666
VSH,7,0.9192708333333334
VSH,8,0.8958333333333334
