target,protocol,split_id,test_well,source_wells,all_labeled_wells,test_samples,source_samples,inner_calibration,notes
PHIF,LOWO,PHIF_LOWO_0,0,1 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,6885,40429,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_1,1,0 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2872,44442,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_2,2,0 1 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2281,45033,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_3,3,0 1 2 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2105,45209,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_4,4,0 1 2 3 5 6 7 8,0 1 2 3 4 5 6 7 8,8422,38892,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_5,5,0 1 2 3 4 6 7 8,0 1 2 3 4 5 6 7 8,1533,45781,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_6,6,0 1 2 3 4 5 7 8,0 1 2 3 4 5 6 7 8,13933,33381,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_7,7,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 7 8,2017,45297,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
PHIF,LOWO,PHIF_LOWO_8,8,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7 8,7266,40048,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_0,0,1 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,6885,40429,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_1,1,0 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2872,44442,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_2,2,0 1 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2281,45033,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_3,3,0 1 2 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2105,45209,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_4,4,0 1 2 3 5 6 7 8,0 1 2 3 4 5 6 7 8,8422,38892,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_5,5,0 1 2 3 4 6 7 8,0 1 2 3 4 5 6 7 8,1533,45781,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_6,6,0 1 2 3 4 5 7 8,0 1 2 3 4 5 6 7 8,13933,33381,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_7,7,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 7 8,2017,45297,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
SW,LOWO,SW_LOWO_8,8,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7 8,7266,40048,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_0,0,1 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,1880,43220,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_1,1,0 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,3534,41566,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_2,2,0 1 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,3166,41934,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_3,3,0 1 2 4 5 6 7 8,0 1 2 3 4 5 6 7 8,2533,42567,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_4,4,0 1 2 3 5 6 7 8,0 1 2 3 4 5 6 7 8,8679,36421,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_5,5,0 1 2 3 4 6 7 8,0 1 2 3 4 5 6 7 8,1765,43335,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_6,6,0 1 2 3 4 5 7 8,0 1 2 3 4 5 6 7 8,14077,31023,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_7,7,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 7 8,2164,42936,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
VSH,LOWO,VSH_LOWO_8,8,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7 8,7302,37798,leave_one_source_well_out,Main well-blocked protocol; calibration folds are source wells only.
